efficiency	no.cellsK	tn5	inputng	spri	sizeChic	yieldpguL	percent1K	bimodal	batch
27.89947738	300	1	500	0	579	158	75	0	3
4.097685144	300	1	978	0	525	389	85	1	1
24.55456041	300	1	500	0	597	95.4	66.7	0	3
10.56	300	1	500	0	532	149	72.5	1	2
30.79434822	300	1	427	1	570	159	71.4	1	4
10.56	300	1	1365	0	536	219	80.7	0	2
34.33637189	300	1	499	1	596	141	75	0	4
14.19852294	1000	2	500	1	682	61	52	0	5
25.45632137	1000	2	500	1	623	119	61	0	5
14.83900861	1000	2	500	1	634	180	74	0	5
15.66369657	1000	2	500	1	628	165	72	0	6
17.50298242	1000	2	500	1	661	102	62	0	6
37.56494972	1000	2	500	1	718	77.6	54	0	6
25.53662828	1000	2	600	1	725	42.4	43	0	6
21.17214113	1000	2	500	1	645	56	65	0	7
20.2243768	1000	2	500	1	604	120	67	0	7
10.49915844	1000	2	500	1	568	129	68.7	1	7
18.97719738	1000	3	662	1	592	203	81	1	8
13.86765386	1000	2	500	1	572	124	72.4	0	7
14.91848075	1000	3	565	1	612	131	68.2	0	9
8.181745511	1000	1	666	1	596	301	85	1	9
8.338339803	1000	1	551	1	592	221	74	1	12
7.743315559	1000	1	546	1	546	190	80	0	10
8.901242497	1000	1	515	1	565	305	83.5	0	11
5.752480538	1000	1	632	1	569	220	79	1	12
5.553901229	1000	1	559	1	626	305	79.2	1	13
11.36187582	1000	1	601	1	610	307	81.5	1	13
10.91096117	1000	2	518	1	596	253	76	1	13
9.673551398	1000	2	575	1	572	328	85	1	14
24.70623872	1000	2	561	1	629	154	75	0	14
7.302444673	1000	1	534	1	558	334	86	0	14
4.746947781	1000	1	608	1	549	332	84	0	15
7.153812844	1000	3	583	1	562	283	84	1	15
9.415418722	1000	3	616	1	550	347	88	0	15
13.40273063	1000	2	674	1	564	222	79	1	16
28.22553598	1000	2	590	1	629	114	69	0	16
